country_clean,avg_annual_crashes,country_risk_score
United States,74.27272727272727,1.0
Canada,13.636363636363637,0.18359853121175032
Russia,9.909090909090908,0.13341493268053856
Brazil,6.636363636363637,0.0893512851897185
Guatemala,5.833333333333333,0.07853937168502652
United Kingdom,5.636363636363637,0.0758873929008568
Indonesia,5.454545454545454,0.07343941248470012
Yemen,5.0,0.06731946144430845
Mexico,4.909090909090909,0.06609547123623012
Venezuela,4.7272727272727275,0.06364749082007345
Japan,4.545454545454546,0.06119951040391678
Sudan,4.5,0.0605875152998776
Unknown,4.3,0.05789473684210526
Australia,4.1,0.05520195838433292
Germany,4.090909090909091,0.05507955936352509
India,3.9,0.05250917992656059
South Sudan,3.6363636363636362,0.04895960832313342
Democratic Republic of the Congo,3.4,0.04577723378212974
Colombia,3.2,0.04308445532435741
France,3.2,0.04308445532435741
Ukraine,3.0,0.04039167686658507
Spain,2.8181818181818183,0.0379436964504284
Papua New Guinea,2.625,0.035342717258261935
Libya,2.6,0.035006119951040394
Maldives,2.6,0.035006119951040394
China,2.3636363636363638,0.03182374541003673
Turkey,2.3333333333333335,0.03141574867401061
Somalia,2.3,0.030966952264381887
Bahamas,2.2222222222222223,0.02991976064191487
Argentina,2.2,0.02962056303549572
Kenya,2.111111111111111,0.028423772609819126
Angola,2.0,0.02692778457772338
Bulgaria,2.0,0.02692778457772338
Bolivia,2.0,0.02692778457772338
Syria,2.0,0.02692778457772338
Vanuatu,2.0,0.02692778457772338
Netherlands,2.0,0.02692778457772338
Denmark,2.0,0.02692778457772338
Kazakhstan,1.9,0.02558139534883721
Greece,1.8888888888888888,0.025431796545627636
Iran,1.875,0.025244798041615668
Thailand,1.875,0.025244798041615668
South Africa,1.875,0.025244798041615668
Nigeria,1.8571428571428572,0.025004371393600282
Peru,1.8571428571428572,0.025004371393600282
Nepal,1.8571428571428572,0.025004371393600282
Afghanistan,1.8,0.024235006119951042
South Korea,1.7777777777777777,0.023935808513531893
Iraq,1.75,0.023561811505507957
Malaysia,1.75,0.023561811505507957
Norway,1.75,0.023561811505507957
Israel,1.75,0.023561811505507957
Philippines,1.7,0.02288861689106487
Italy,1.7,0.02288861689106487
Honduras,1.6666666666666667,0.02243982048143615
Portugal,1.6666666666666667,0.02243982048143615
Pakistan,1.6666666666666667,0.02243982048143615
Belize,1.625,0.021878824969400246
Tanzania,1.6,0.021542227662178705
Guyana,1.6,0.021542227662178705
Cyprus,1.5,0.020195838433292534
Slovakia,1.5,0.020195838433292534
Ghana,1.5,0.020195838433292534
Uganda,1.5,0.020195838433292534
United Arab Emirates,1.5,0.020195838433292534
Laos,1.5,0.020195838433292534
Austria,1.4,0.018849449204406364
Chile,1.4,0.018849449204406364
Morocco,1.4,0.018849449204406364
Panama,1.375,0.018512851897184823
Malta,1.3333333333333333,0.01795185638514892
Ecuador,1.3333333333333333,0.01795185638514892
Ethiopia,1.3333333333333333,0.01795185638514892
Hong Kong,1.3333333333333333,0.01795185638514892
Senegal,1.3333333333333333,0.01795185638514892
Taiwan,1.25,0.016829865361077112
Belgium,1.25,0.016829865361077112
Ireland,1.25,0.016829865361077112
Algeria,1.2,0.016156670746634027
Poland,1.1666666666666667,0.015707874337005306
Myanmar,1.125,0.0151468788249694
Aruba,1.0,0.01346389228886169
Antigua and Barbuda,1.0,0.01346389228886169
Cameroon,1.0,0.01346389228886169
Caribbean Netherlands,1.0,0.01346389228886169
Barbados,1.0,0.01346389228886169
Bangladesh,1.0,0.01346389228886169
Botswana,1.0,0.01346389228886169
Armenia,1.0,0.01346389228886169
Central African Republic,1.0,0.01346389228886169
Chad,1.0,0.01346389228886169
Mongolia,1.0,0.01346389228886169
Micronesia,1.0,0.01346389228886169
Mali,1.0,0.01346389228886169
Macau,1.0,0.01346389228886169
Madagascar,1.0,0.01346389228886169
Malawi,1.0,0.01346389228886169
Lesotho,1.0,0.01346389228886169
Lithuania,1.0,0.01346389228886169
Luxembourg,1.0,0.01346389228886169
Jamaica,1.0,0.01346389228886169
Jordan,1.0,0.01346389228886169
Kyrgyzstan,1.0,0.01346389228886169
Latvia,1.0,0.01346389228886169
Lebanon,1.0,0.01346389228886169
Estonia,1.0,0.01346389228886169
Equatorial Guinea,1.0,0.01346389228886169
El Salvador,1.0,0.01346389228886169
Egypt,1.0,0.01346389228886169
Dominican Republic,1.0,0.01346389228886169
Dominica,1.0,0.01346389228886169
Curaçao,1.0,0.01346389228886169
Côte d’Ivoire,1.0,0.01346389228886169
Comoros,1.0,0.01346389228886169
Greenland,1.0,0.01346389228886169
Finland,1.0,0.01346389228886169
French Guiana,1.0,0.01346389228886169
Haiti,1.0,0.01346389228886169
Guinea,1.0,0.01346389228886169
Hungary,1.0,0.01346389228886169
Iceland,1.0,0.01346389228886169
Costa Rica,1.0,0.01346389228886169
Cuba,1.0,0.01346389228886169
Mauritius,1.0,0.01346389228886169
Mauritania,1.0,0.01346389228886169
Saint Lucia,1.0,0.01346389228886169
Saudi Arabia,1.0,0.01346389228886169
Romania,1.0,0.01346389228886169
Saint Barthélemy,1.0,0.01346389228886169
Republic of the Congo,1.0,0.01346389228886169
Qatar,1.0,0.01346389228886169
Montserrat,1.0,0.01346389228886169
Mozambique,1.0,0.01346389228886169
Nicaragua,1.0,0.01346389228886169
Namibia,1.0,0.01346389228886169
Oman,1.0,0.01346389228886169
Paraguay,1.0,0.01346389228886169
Sint Maarten,1.0,0.01346389228886169
Singapore,1.0,0.01346389228886169
Seychelles,1.0,0.01346389228886169
Serbia,1.0,0.01346389228886169
Sri Lanka,1.0,0.01346389228886169
Suriname,1.0,0.01346389228886169
Switzerland,1.0,0.01346389228886169
São Tomé and Príncipe,1.0,0.01346389228886169
Tajikistan,1.0,0.01346389228886169
Sweden,1.0,0.01346389228886169
Tonga,1.0,0.01346389228886169
Turks and Caicos Islands,1.0,0.01346389228886169
Uruguay,1.0,0.01346389228886169
Vietnam,1.0,0.01346389228886169
Zambia,1.0,0.01346389228886169
Zimbabwe,1.0,0.01346389228886169
